para_name_old;para_name_new
tmax;tlmax
tmin;tlmin
erdmin;tsmin
t7;tl_i
t14;tl_ii
t19;tl_iii
t;tl_mittel
rel07_b;rfb_i
rel14_b;rfb_ii
rel19_b;rfb_iii
rel_b;rfb_mittel
rel07;rf_i
rel14;rf_ii
rel19;rf_iii
rel;rf_mittel
dampf07;dampf_i
dampf14;dampf_ii
dampf19;dampf_iii
dampfmit;dampf_mittel
bew07_m;bewm_i
bew07_d;bewd_i
bew14_m;bewm_ii
bew14_d;bewd_ii
bew19_m;bewm_iii
bew19_d;bewd_iii
bewmit;bewm_mittel
sicht07;sicht_i
sicht14;sicht_ii
sicht19;sicht_iii
dd07;dd32_i
vv07;vvbft_i
dd14;dd32_ii
vv14;vvbft_ii
dd19;dd32_iii
vv19;vvbft_iii
vv;vv_mittel
vvmax;ffx
vvmaxz;zeitx
nied07;rr_i
nied19;rr_iii
nied;rr
nied07a;rra_manu_i
nied19a;rra_manu_iii
nieda;rra_manu
schnee_a;sha_manu
neuschnee;shneu_manu
schnee_manu;sh_manu
schnee_auto;sh
erdb07;erdb_i
erdb14;erdb_ii
erdb19;erdb_iii
tau;tau
glatt;glatt
reif;reif
raureif;raureif
nebel;nebel
gew;gew
bft6;bft6
bft8;bft8
druck07;p_i
druck14;p_ii
druck19;p_iii
druckmit;p_mittel
sonne;so_h
strahl;cglo_j
